CellLine,Lineage
ACH-000699,Invasive Breast Carcinoma
ACH-000700,Non-Small Cell Lung Cancer
ACH-000701,Ovarian Epithelial Tumor
ACH-000704,Ovarian Epithelial Tumor
ACH-000706,Non-Small Cell Lung Cancer
ACH-000709,Renal Cell Carcinoma
ACH-000711,Invasive Breast Carcinoma
ACH-000713,Ovarian Epithelial Tumor
ACH-000714,Mature B-Cell Neoplasms
ACH-000717,Esophageal Squamous Cell Carcinoma
ACH-000718,Non-Small Cell Lung Cancer
ACH-000719,Ovarian Epithelial Tumor
ACH-000720,Bladder Urothelial Carcinoma
ACH-000721,Invasive Breast Carcinoma
ACH-000722,Colorectal Adenocarcinoma
ACH-000724,Bladder Urothelial Carcinoma
ACH-000732,Head and Neck Squamous Cell Carcinoma
ACH-000734,Hepatocellular Carcinoma
ACH-000735,Head and Neck Squamous Cell Carcinoma
ACH-000736,Esophagogastric Adenocarcinoma
ACH-000738,Diffuse Glioma
ACH-000740,Head and Neck Squamous Cell Carcinoma
ACH-000741,Bladder Urothelial Carcinoma
ACH-000746,Esophagogastric Adenocarcinoma
ACH-000747,Non-Small Cell Lung Cancer
ACH-000748,Osteosarcoma
ACH-000749,Lung Neuroendocrine Tumor
ACH-000753,Bladder Urothelial Carcinoma
ACH-000756,Diffuse Glioma
ACH-000757,Non-Small Cell Lung Cancer
ACH-000758,Esophagogastric Adenocarcinoma
ACH-000760,Diffuse Glioma
ACH-000762,Head and Neck Squamous Cell Carcinoma
ACH-000763,Mature B-Cell Neoplasms
ACH-000764,Esophagogastric Adenocarcinoma
ACH-000765,Melanoma
ACH-000766,Non-Small Cell Lung Cancer
ACH-000767,Lung Neuroendocrine Tumor
ACH-000768,Invasive Breast Carcinoma
ACH-000769,Non-Small Cell Lung Cancer
ACH-000770,Acute Myeloid Leukemia
ACH-000771,Head and Neck Squamous Cell Carcinoma
ACH-000773,Mature T and NK Neoplasms
ACH-000774,Non-Small Cell Lung Cancer
ACH-000775,Lung Neuroendocrine Tumor
ACH-000776,Embryonal Tumor
ACH-000777,Esophageal Squamous Cell Carcinoma
ACH-000778,Head and Neck Squamous Cell Carcinoma
ACH-000781,Non-Small Cell Lung Cancer
ACH-000782,B-Cell Acute Lymphoblastic Leukemia
ACH-000783,Invasive Breast Carcinoma
ACH-000784,Esophageal Squamous Cell Carcinoma
ACH-000785,Non-Small Cell Lung Cancer
ACH-000787,Non-Small Cell Lung Cancer
ACH-000788,Melanoma
ACH-000790,Lung Neuroendocrine Tumor
ACH-000791,Non-Small Cell Lung Cancer
ACH-000792,Renal Cell Carcinoma
ACH-000793,Esophagogastric Adenocarcinoma
ACH-000794,Head and Neck Squamous Cell Carcinoma
ACH-000796,Ovarian Epithelial Tumor
ACH-000798,Colorectal Adenocarcinoma
ACH-000799,Melanoma
ACH-000800,Lung Neuroendocrine Tumor
ACH-000801,Melanoma
ACH-000802,Bladder Urothelial Carcinoma
ACH-000804,Neuroblastoma
ACH-000805,Melanoma
ACH-000807,Diffuse Glioma
ACH-000809,Esophageal Squamous Cell Carcinoma
ACH-000810,Melanoma
ACH-000811,Ovarian Epithelial Tumor
ACH-000817,Mature B-Cell Neoplasms
ACH-000819,Diffuse Glioma
ACH-000820,Colorectal Adenocarcinoma
ACH-000821,Mature B-Cell Neoplasms
ACH-000822,Melanoma
ACH-000823,Esophageal Squamous Cell Carcinoma
ACH-000824,Esophageal Squamous Cell Carcinoma
ACH-000826,Non-Small Cell Lung Cancer
ACH-000827,Melanoma
ACH-000829,Mature B-Cell Neoplasms
ACH-000831,Endometrial Carcinoma
ACH-000832,Head and Neck Squamous Cell Carcinoma
ACH-000833,Rhabdomyosarcoma
ACH-000834,Bladder Urothelial Carcinoma
ACH-000835,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-000836,Head and Neck Squamous Cell Carcinoma
ACH-000837,Non-Small Cell Lung Cancer
ACH-000838,Mature B-Cell Neoplasms
ACH-000840,Non-Small Cell Lung Cancer
ACH-000841,Non-Small Cell Lung Cancer
ACH-000843,Non-Small Cell Lung Cancer
ACH-000845,Non-Small Cell Lung Cancer
ACH-000846,Head and Neck Squamous Cell Carcinoma
ACH-000847,Esophagogastric Adenocarcinoma
ACH-000848,Hepatocellular Carcinoma
ACH-000849,Invasive Breast Carcinoma
ACH-000851,Non-Small Cell Lung Cancer
ACH-000853,Non-Small Cell Lung Cancer
ACH-000855,Esophageal Squamous Cell Carcinoma
ACH-000856,Invasive Breast Carcinoma
ACH-000858,Non-Small Cell Lung Cancer
ACH-000860,Non-Small Cell Lung Cancer
ACH-000861,Non-Small Cell Lung Cancer
ACH-000862,Bladder Urothelial Carcinoma
ACH-000863,Diffuse Glioma
ACH-000864,Endometrial Carcinoma
ACH-000865,Esophageal Squamous Cell Carcinoma
ACH-000866,Lung Neuroendocrine Tumor
ACH-000867,Non-Small Cell Lung Cancer
ACH-000869,Non-Small Cell Lung Cancer
ACH-000871,Lung Neuroendocrine Tumor
ACH-000872,Non-Small Cell Lung Cancer
ACH-000873,Esophageal Squamous Cell Carcinoma
ACH-000874,B-Cell Acute Lymphoblastic Leukemia
ACH-000876,Invasive Breast Carcinoma
ACH-000878,Non-Small Cell Lung Cancer
ACH-000879,Endometrial Carcinoma
ACH-000880,Esophagogastric Adenocarcinoma
ACH-000881,Melanoma
ACH-000882,Melanoma
ACH-000884,Melanoma
ACH-000885,Ovarian Epithelial Tumor
ACH-000886,Non-Small Cell Lung Cancer
ACH-000887,Diffuse Glioma
ACH-000888,Non-Small Cell Lung Cancer
ACH-000889,Mature B-Cell Neoplasms
ACH-000894,Non-Small Cell Lung Cancer
ACH-000896,Bladder Urothelial Carcinoma
ACH-000898,Esophagogastric Adenocarcinoma
ACH-000899,Melanoma
